sym_a,sym_b,eg_pvalue
STORJUSDT,RVNUSDT,0.8684499585198131
FETUSDT,APEUSDT,0.8690070453091008
STORJUSDT,SANDUSDT,0.8692246073910932
USDCUSDT,POLYXUSDT,0.8692625401357128
BNBUSDT,ALGOUSDT,0.8716718465360536
UNIUSDT,ZRXUSDT,0.8725688005453858
USDCUSDT,GRTUSDT,0.8731229276979577
STORJUSDT,IMXUSDT,0.8731255866601468
XRPUSDT,XLMUSDT,0.8769517478318899
BNBUSDT,FLOKIUSDT,0.8769834774780418
USDCUSDT,ALGOUSDT,0.8772971780746933
ROSEUSDT,LDOUSDT,0.8778557362934316
BNBUSDT,WAXPUSDT,0.8784881889880531
FETUSDT,RVNUSDT,0.8789097184577791
USDCUSDT,SHIBUSDT,0.8791797244343953
BNBUSDT,XLMUSDT,0.8819182509643861
USDCUSDT,EGLDUSDT,0.881939535312423
UNIUSDT,ZILUSDT,0.8820793160157844
ALGOUSDT,RVNUSDT,0.8829860440610883
USDCUSDT,APEUSDT,0.8845471210295823
USDCUSDT,IOTAUSDT,0.8848620421334529
USDCUSDT,ZRXUSDT,0.8857936888176714
USDCUSDT,VTHOUSDT,0.8878328217981157
ONEUSDT,ACHUSDT,0.8929883726639676
USDCUSDT,IMXUSDT,0.8942654000690848
UNIUSDT,YFIUSDT,0.8953884981957261
SOLUSDT,BCHUSDT,0.895611366403791
SOLUSDT,ATOMUSDT,0.8962279274780414
THETAUSDT,ACHUSDT,0.8965377623931399
VETUSDT,GALAUSDT,0.8976769491660359
GRTUSDT,RVNUSDT,0.9006233033775188
NMRUSDT,NEOUSDT,0.9040000401202684
STORJUSDT,FILUSDT,0.9062372326479418
LDOUSDT,IMXUSDT,0.9071132979951542
SOLUSDT,ADAUSDT,0.9072787757134492
UNIUSDT,IOTAUSDT,0.90763850677198
USDCUSDT,ZILUSDT,0.9115096308361823
GRTUSDT,APEUSDT,0.9140911151241073
FILUSDT,IMXUSDT,0.9143061973530626
NEARUSDT,IMXUSDT,0.9153765076532059
BNBUSDT,HBARUSDT,0.9158362887064476
ROSEUSDT,POLYXUSDT,0.9159166642596153
STORJUSDT,NEOUSDT,0.9163927768763689
USDCUSDT,MANAUSDT,0.9170069937247338
ROSEUSDT,MANAUSDT,0.9176394378209329
USDCUSDT,XLMUSDT,0.9184782244141572
LDOUSDT,RVNUSDT,0.9196144264079127
USDCUSDT,AVAXUSDT,0.9197564831497139
BNBUSDT,SHIBUSDT,0.9198912103304371
UNIUSDT,IMXUSDT,0.9205519335014736
USDCUSDT,XRPUSDT,0.9214657558418207
BNBUSDT,VETUSDT,0.9215274954032286
BNBUSDT,VTHOUSDT,0.9228121825724827
SOLUSDT,AVAXUSDT,0.9229702897341026
UNIUSDT,POLYXUSDT,0.923909631153032
SOLUSDT,GALAUSDT,0.9240573106106029
THETAUSDT,RVNUSDT,0.9252393116673917
NEARUSDT,STORJUSDT,0.9253956885287663
NEARUSDT,SUSHIUSDT,0.9268470647617322
ONEUSDT,APEUSDT,0.9281694662209885
SOLUSDT,USDCUSDT,0.9281831048226037
DOTUSDT,RVNUSDT,0.930063778373343
NEARUSDT,IOTAUSDT,0.9337456237868902
USDCUSDT,WAXPUSDT,0.9342133443354586
FETUSDT,STORJUSDT,0.9348807997535621
USDCUSDT,ATOMUSDT,0.9383316861475438
SOLUSDT,DOGEUSDT,0.938422344995848
USDCUSDT,ACHUSDT,0.9391326713731745
USDCUSDT,GALAUSDT,0.9399843091015928
USDCUSDT,RVNUSDT,0.9402028976997956
USDCUSDT,LTCUSDT,0.9406048375814561
SOLUSDT,LINKUSDT,0.9412010242112866
SOLUSDT,SUSHIUSDT,0.9425177616152598
HBARUSDT,RVNUSDT,0.9436715384698708
SOLUSDT,LTCUSDT,0.945060741756496
UNIUSDT,ACHUSDT,0.9461356466207198
LDOUSDT,POLYXUSDT,0.9462007759432215
SOLUSDT,XRPUSDT,0.9465592402047388
BNBUSDT,BCHUSDT,0.946580595544857
ROSEUSDT,IMXUSDT,0.9466163951271489
SOLUSDT,ACHUSDT,0.9474895115343656
SOLUSDT,STORJUSDT,0.9481357032604959
SOLUSDT,IOTAUSDT,0.9485216762198588
USDCUSDT,STORJUSDT,0.9497876967516253
SOLUSDT,APEUSDT,0.9513747648207367
USDCUSDT,SUSHIUSDT,0.9514013728186013
NEARUSDT,APEUSDT,0.9514789235025924
BNBUSDT,AVAXUSDT,0.9518561622528183
NEARUSDT,ACHUSDT,0.9538575810994675
OPUSDT,APEUSDT,0.9555678985501008
UNIUSDT,SUSHIUSDT,0.9558331286660203
VETUSDT,RVNUSDT,0.9562740201961965
BNBUSDT,DOGEUSDT,0.956399449640282
OPUSDT,ACHUSDT,0.9567411433282504
SOLUSDT,RVNUSDT,0.9573245760422409
OPUSDT,STORJUSDT,0.9582311619684961
OPUSDT,IMXUSDT,0.9592831402740405
BNBUSDT,FETUSDT,0.9593035839919043
LDOUSDT,APEUSDT,0.9622142118004444
OPUSDT,SUSHIUSDT,0.9631049077162847
BNBUSDT,IMXUSDT,0.9657011209177111
THETAUSDT,APEUSDT,0.9661988833924265
ONEUSDT,RVNUSDT,0.9667124805619209
BNBUSDT,STORJUSDT,0.9677701557363809
OPUSDT,IOTAUSDT,0.9678560999571306
BNBUSDT,IOTAUSDT,0.9692631976633983
BNBUSDT,SUSHIUSDT,0.9707480225940645
UNIUSDT,RVNUSDT,0.9720702100752963
OPUSDT,RVNUSDT,0.9729965089265983
BNBUSDT,APEUSDT,0.9739456344668658
FILUSDT,IOTAUSDT,0.9756410885130692
NMRUSDT,IMXUSDT,0.9762276760731119
FILUSDT,SUSHIUSDT,0.9769182601609497
BNBUSDT,ACHUSDT,0.9777912307465411
BNBUSDT,GALAUSDT,0.9786024055316925
BNBUSDT,RVNUSDT,0.9809338010091643
NEARUSDT,RVNUSDT,0.9810099301575745
BNBUSDT,LTCUSDT,0.9814119914735365
UNIUSDT,APEUSDT,0.9838751148554503
ROSEUSDT,IOTAUSDT,0.9840689181197855
ROSEUSDT,SUSHIUSDT,0.9856202475422322
ROSEUSDT,STORJUSDT,0.9858467925656201
NMRUSDT,SUSHIUSDT,0.986135160059303
BNBUSDT,ATOMUSDT,0.9871893005621526
ROSEUSDT,ACHUSDT,0.9878954064097032
FILUSDT,APEUSDT,0.9900850630542531
ROSEUSDT,RVNUSDT,0.9901594985901673
ROSEUSDT,APEUSDT,0.9912579306235078
